script starting at 14/11/2018 00:00:12 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.586 , 14/11/2018 00:00:12 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.233 , 14/11/2018 00:00:14 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 32.466 , 14/11/2018 00:00:16 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.219 , 14/11/2018 00:00:18 UTC  
64.28.108.203 , vatican.com , 58.693 , 14/11/2018 00:00:21 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.320 , 14/11/2018 00:00:23 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 13.008 , 14/11/2018 00:00:25 UTC  
10.0.0.1 , 10.0.0.1 , 1.244 , 14/11/2018 00:00:37 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 12.710 , 14/11/2018 00:00:39 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 86.228 , 14/11/2018 00:00:41 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.868 , 14/11/2018 00:00:43 UTC  
64.28.108.203 , vatican.com , 58.533 , 14/11/2018 00:00:45 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.019 , 14/11/2018 00:00:48 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.403 , 14/11/2018 00:00:50 UTC  
10.0.0.1 , 10.0.0.1 , 0.868 , 14/11/2018 00:01:02 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 12.682 , 14/11/2018 00:01:04 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.990 , 14/11/2018 00:01:06 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.787 , 14/11/2018 00:01:08 UTC  
64.28.108.203 , vatican.com , 60.277 , 14/11/2018 00:01:10 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.730 , 14/11/2018 00:01:12 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.230 , 14/11/2018 00:01:14 UTC  
10.0.0.1 , 10.0.0.1 , 1.396 , 14/11/2018 00:01:26 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.491 , 14/11/2018 00:01:29 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.579 , 14/11/2018 00:01:31 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.120 , 14/11/2018 00:01:33 UTC  
64.28.108.203 , vatican.com , 58.222 , 14/11/2018 00:01:35 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.402 , 14/11/2018 00:01:37 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 13.174 , 14/11/2018 00:01:39 UTC  
10.0.0.1 , 10.0.0.1 , 1.125 , 14/11/2018 00:01:51 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 12.630 , 14/11/2018 00:01:53 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.083 , 14/11/2018 00:01:55 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.553 , 14/11/2018 00:01:57 UTC  
64.28.108.203 , vatican.com , 58.585 , 14/11/2018 00:02:00 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.346 , 14/11/2018 00:02:02 UTC  
lax31s01-in-x01.1e100.net (2607:f8b0:4007:80e::2001 , navycaptain-therealnavy.blogspot.com , 19.478 , 14/11/2018 00:02:04 UTC  
10.0.0.1 , 10.0.0.1 , 1.275 , 14/11/2018 00:02:16 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.742 , 14/11/2018 00:02:18 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.463 , 14/11/2018 00:02:20 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.210 , 14/11/2018 00:02:22 UTC  
