script starting at 13/11/2018 00:00:04 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.382 , 13/11/2018 00:00:04 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 14.262 , 13/11/2018 00:00:07 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 60.760 , 13/11/2018 00:00:09 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.448 , 13/11/2018 00:00:11 UTC  
64.28.108.203 , vatican.com , 58.359 , 13/11/2018 00:00:13 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.713 , 13/11/2018 00:00:15 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 14.672 , 13/11/2018 00:00:17 UTC  
10.0.0.1 , 10.0.0.1 , 2.345 , 13/11/2018 00:00:29 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 14.133 , 13/11/2018 00:00:31 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.666 , 13/11/2018 00:00:33 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 17.172 , 13/11/2018 00:00:36 UTC  
64.28.108.203 , vatican.com , 58.194 , 13/11/2018 00:00:38 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.731 , 13/11/2018 00:00:40 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 15.083 , 13/11/2018 00:00:42 UTC  
10.0.0.1 , 10.0.0.1 , 2.007 , 13/11/2018 00:00:54 UTC  
lax31s01-in-x0e.1e100.net (2607:f8b0:4007:80e::200e , google.com , 21.025 , 13/11/2018 00:00:56 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.666 , 13/11/2018 00:00:58 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.277 , 13/11/2018 00:01:00 UTC  
64.28.108.203 , vatican.com , 58.603 , 13/11/2018 00:01:02 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.000 , 13/11/2018 00:01:05 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 14.448 , 13/11/2018 00:01:07 UTC  
10.0.0.1 , 10.0.0.1 , 1.995 , 13/11/2018 00:01:19 UTC  
lax31s01-in-x0e.1e100.net (2607:f8b0:4007:80e::200e , google.com , 20.294 , 13/11/2018 00:01:21 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.985 , 13/11/2018 00:01:24 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.517 , 13/11/2018 00:01:26 UTC  
64.28.108.203 , vatican.com , 58.994 , 13/11/2018 00:01:28 UTC  
