script starting at 22/11/2018 00:00:16 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.068 , 22/11/2018 00:00:16 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.244 , 22/11/2018 00:00:18 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 63.460 , 22/11/2018 00:00:20 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.328 , 22/11/2018 00:00:22 UTC  
64.28.108.203 , vatican.com , 59.149 , 22/11/2018 00:00:24 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.871 , 22/11/2018 00:00:26 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 15.160 , 22/11/2018 00:00:28 UTC  
10.0.0.1 , 10.0.0.1 , 1.866 , 22/11/2018 00:00:40 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.612 , 22/11/2018 00:00:43 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 51.996 , 22/11/2018 00:00:45 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.652 , 22/11/2018 00:00:47 UTC  
64.28.108.203 , vatican.com , 58.236 , 22/11/2018 00:00:49 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 18.003 , 22/11/2018 00:00:51 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.293 , 22/11/2018 00:00:53 UTC  
10.0.0.1 , 10.0.0.1 , 1.933 , 22/11/2018 00:01:05 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 15.145 , 22/11/2018 00:01:07 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.382 , 22/11/2018 00:01:10 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 16.912 , 22/11/2018 00:01:12 UTC  
64.28.108.203 , vatican.com , 58.416 , 22/11/2018 00:01:15 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.441 , 22/11/2018 00:01:17 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 15.408 , 22/11/2018 00:01:20 UTC  
10.0.0.1 , 10.0.0.1 , 1.889 , 22/11/2018 00:01:32 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 15.232 , 22/11/2018 00:01:34 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 81.952 , 22/11/2018 00:01:36 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.348 , 22/11/2018 00:01:38 UTC  
64.28.108.203 , vatican.com , 58.369 , 22/11/2018 00:01:40 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.882 , 22/11/2018 00:01:43 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 13.928 , 22/11/2018 00:01:45 UTC  
10.0.0.1 , 10.0.0.1 , 1.968 , 22/11/2018 00:01:57 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.346 , 22/11/2018 00:01:59 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.486 , 22/11/2018 00:02:01 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.826 , 22/11/2018 00:02:03 UTC  
64.28.108.203 , vatican.com , 58.560 , 22/11/2018 00:02:05 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.892 , 22/11/2018 00:02:07 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 13.903 , 22/11/2018 00:02:09 UTC  
10.0.0.1 , 10.0.0.1 , 1.913 , 22/11/2018 00:02:21 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.644 , 22/11/2018 00:02:24 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.825 , 22/11/2018 00:02:26 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 17.826 , 22/11/2018 00:02:28 UTC  
64.28.108.203 , vatican.com , 57.871 , 22/11/2018 00:02:30 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.381 , 22/11/2018 00:02:32 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.311 , 22/11/2018 00:02:34 UTC  
10.0.0.1 , 10.0.0.1 , 2.189 , 22/11/2018 00:02:46 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.806 , 22/11/2018 00:02:48 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 60.703 , 22/11/2018 00:02:50 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.193 , 22/11/2018 00:02:52 UTC  
64.28.108.203 , vatican.com , 58.647 , 22/11/2018 00:02:55 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 16.651 , 22/11/2018 00:02:57 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.583 , 22/11/2018 00:02:59 UTC  
10.0.0.1 , 10.0.0.1 , 1.964 , 22/11/2018 00:03:11 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.874 , 22/11/2018 00:03:13 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.521 , 22/11/2018 00:03:15 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.129 , 22/11/2018 00:03:17 UTC  
64.28.108.203 , vatican.com , 59.112 , 22/11/2018 00:03:19 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.530 , 22/11/2018 00:03:21 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.029 , 22/11/2018 00:03:23 UTC  
10.0.0.1 , 10.0.0.1 , 1.843 , 22/11/2018 00:03:36 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.864 , 22/11/2018 00:03:38 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 83.110 , 22/11/2018 00:03:40 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.582 , 22/11/2018 00:03:42 UTC  
64.28.108.203 , vatican.com , 59.153 , 22/11/2018 00:03:44 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.291 , 22/11/2018 00:03:46 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 14.290 , 22/11/2018 00:03:48 UTC  
10.0.0.1 , 10.0.0.1 , 2.124 , 22/11/2018 00:04:00 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 17.307 , 22/11/2018 00:04:02 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 82.138 , 22/11/2018 00:04:05 UTC  
