script starting at 29/11/2018 00:00:21 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.295 , 29/11/2018 00:00:21 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 15.726 , 29/11/2018 00:00:23 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 88.625 , 29/11/2018 00:00:25 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 16.934 , 29/11/2018 00:00:27 UTC  
64.28.108.203 , vatican.com , 62.663 , 29/11/2018 00:00:34 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.863 , 29/11/2018 00:00:38 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 22.709 , 29/11/2018 00:00:43 UTC  
10.0.0.1 , 10.0.0.1 , 2.048 , 29/11/2018 00:00:55 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 15.761 , 29/11/2018 00:00:57 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.420 , 29/11/2018 00:01:00 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 18.304 , 29/11/2018 00:01:05 UTC  
64.28.108.203 , vatican.com , 58.870 , 29/11/2018 00:01:07 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.864 , 29/11/2018 00:01:11 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.555 , 29/11/2018 00:01:13 UTC  
10.0.0.1 , 10.0.0.1 , 1.915 , 29/11/2018 00:01:26 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 16.576 , 29/11/2018 00:01:28 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 48.579 , 29/11/2018 00:01:30 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.470 , 29/11/2018 00:01:32 UTC  
64.28.108.203 , vatican.com , 58.647 , 29/11/2018 00:01:34 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 19.942 , 29/11/2018 00:01:36 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.316 , 29/11/2018 00:01:38 UTC  
10.0.0.1 , 10.0.0.1 , 1.830 , 29/11/2018 00:01:51 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.129 , 29/11/2018 00:01:53 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.894 , 29/11/2018 00:01:55 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.952 , 29/11/2018 00:01:57 UTC  
64.28.108.203 , vatican.com , 58.494 , 29/11/2018 00:01:59 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 17.401 , 29/11/2018 00:02:01 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.660 , 29/11/2018 00:02:03 UTC  
10.0.0.1 , 10.0.0.1 , 2.406 , 29/11/2018 00:02:15 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.725 , 29/11/2018 00:02:17 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 48.686 , 29/11/2018 00:02:19 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.299 , 29/11/2018 00:02:22 UTC  
64.28.108.203 , vatican.com , 59.087 , 29/11/2018 00:02:24 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.739 , 29/11/2018 00:02:26 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.699 , 29/11/2018 00:02:28 UTC  
10.0.0.1 , 10.0.0.1 , 31.120 , 29/11/2018 00:02:40 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 17.533 , 29/11/2018 00:02:42 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.957 , 29/11/2018 00:02:45 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.378 , 29/11/2018 00:02:48 UTC  
64.28.108.203 , vatican.com , 61.004 , 29/11/2018 00:02:50 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.350 , 29/11/2018 00:02:53 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 15.112 , 29/11/2018 00:02:55 UTC  
10.0.0.1 , 10.0.0.1 , 1.977 , 29/11/2018 00:03:07 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 15.022 , 29/11/2018 00:03:09 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.323 , 29/11/2018 00:03:11 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.944 , 29/11/2018 00:03:14 UTC  
64.28.108.203 , vatican.com , 58.773 , 29/11/2018 00:03:16 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 16.485 , 29/11/2018 00:03:19 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.410 , 29/11/2018 00:03:21 UTC  
10.0.0.1 , 10.0.0.1 , 1.833 , 29/11/2018 00:03:33 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.541 , 29/11/2018 00:03:35 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 63.073 , 29/11/2018 00:03:37 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.832 , 29/11/2018 00:03:39 UTC  
64.28.108.203 , vatican.com , 61.923 , 29/11/2018 00:03:41 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.408 , 29/11/2018 00:03:43 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 19.121 , 29/11/2018 00:03:46 UTC  
10.0.0.1 , 10.0.0.1 , 2.273 , 29/11/2018 00:03:59 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.754 , 29/11/2018 00:04:01 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 36.122 , 29/11/2018 00:04:10 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 15.377 , 29/11/2018 00:04:13 UTC  
64.28.108.203 , vatican.com , 65.376 , 29/11/2018 00:04:19 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.095 , 29/11/2018 00:04:23 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 16.629 , 29/11/2018 00:04:25 UTC  
10.0.0.1 , 10.0.0.1 , 2.051 , 29/11/2018 00:04:37 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.454 , 29/11/2018 00:04:39 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 48.880 , 29/11/2018 00:04:42 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.771 , 29/11/2018 00:04:44 UTC  
64.28.108.203 , vatican.com , 58.421 , 29/11/2018 00:04:47 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.659 , 29/11/2018 00:04:49 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.357 , 29/11/2018 00:04:51 UTC  
10.0.0.1 , 10.0.0.1 , 2.132 , 29/11/2018 00:05:03 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.583 , 29/11/2018 00:05:05 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 88.105 , 29/11/2018 00:05:07 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.463 , 29/11/2018 00:05:15 UTC  
64.28.108.203 , vatican.com , 60.657 , 29/11/2018 00:05:17 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.415 , 29/11/2018 00:05:20 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.492 , 29/11/2018 00:05:22 UTC  
10.0.0.1 , 10.0.0.1 , 1.873 , 29/11/2018 00:05:34 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 16.438 , 29/11/2018 00:05:36 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 48.490 , 29/11/2018 00:05:38 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 16.102 , 29/11/2018 00:05:40 UTC  
64.28.108.203 , vatican.com , 58.908 , 29/11/2018 00:05:43 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 16.875 , 29/11/2018 00:05:45 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.227 , 29/11/2018 00:05:47 UTC  
10.0.0.1 , 10.0.0.1 , 1.827 , 29/11/2018 00:06:00 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 17.243 , 29/11/2018 00:06:02 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 88.638 , 29/11/2018 00:06:04 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.446 , 29/11/2018 00:06:06 UTC  
64.28.108.203 , vatican.com , 59.369 , 29/11/2018 00:06:08 UTC  
