script starting at 16/11/2018 00:00:22 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 1.556 , 16/11/2018 00:00:22 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.046 , 16/11/2018 00:00:24 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.060 , 16/11/2018 00:00:26 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.323 , 16/11/2018 00:00:28 UTC  
64.28.108.203 , vatican.com , 59.625 , 16/11/2018 00:00:30 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.673 , 16/11/2018 00:00:32 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.294 , 16/11/2018 00:00:34 UTC  
10.0.0.1 , 10.0.0.1 , 0.889 , 16/11/2018 00:00:46 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.337 , 16/11/2018 00:00:48 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.615 , 16/11/2018 00:00:50 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.494 , 16/11/2018 00:00:53 UTC  
64.28.108.203 , vatican.com , 58.038 , 16/11/2018 00:00:55 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.049 , 16/11/2018 00:00:57 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 14.856 , 16/11/2018 00:00:59 UTC  
10.0.0.1 , 10.0.0.1 , 0.882 , 16/11/2018 00:01:11 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.110 , 16/11/2018 00:01:13 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 33.412 , 16/11/2018 00:01:15 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.219 , 16/11/2018 00:01:17 UTC  
64.28.108.203 , vatican.com , 58.135 , 16/11/2018 00:01:19 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.017 , 16/11/2018 00:01:22 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 13.393 , 16/11/2018 00:01:24 UTC  
10.0.0.1 , 10.0.0.1 , 1.224 , 16/11/2018 00:01:36 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.082 , 16/11/2018 00:01:38 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.362 , 16/11/2018 00:01:40 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.777 , 16/11/2018 00:01:42 UTC  
64.28.108.203 , vatican.com , 58.649 , 16/11/2018 00:01:44 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.397 , 16/11/2018 00:01:46 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.380 , 16/11/2018 00:01:48 UTC  
10.0.0.1 , 10.0.0.1 , 0.856 , 16/11/2018 00:02:00 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.407 , 16/11/2018 00:02:03 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.385 , 16/11/2018 00:02:05 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.153 , 16/11/2018 00:02:07 UTC  
64.28.108.203 , vatican.com , 58.782 , 16/11/2018 00:02:09 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.854 , 16/11/2018 00:02:11 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 15.857 , 16/11/2018 00:02:13 UTC  
10.0.0.1 , 10.0.0.1 , 1.057 , 16/11/2018 00:02:25 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 13.129 , 16/11/2018 00:02:27 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.478 , 16/11/2018 00:02:29 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.158 , 16/11/2018 00:02:32 UTC  
64.28.108.203 , vatican.com , 60.308 , 16/11/2018 00:02:34 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.557 , 16/11/2018 00:02:36 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.100 , 16/11/2018 00:02:38 UTC  
10.0.0.1 , 10.0.0.1 , 1.303 , 16/11/2018 00:02:50 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.123 , 16/11/2018 00:02:52 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.059 , 16/11/2018 00:02:54 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 15.371 , 16/11/2018 00:02:56 UTC  
64.28.108.203 , vatican.com , 58.371 , 16/11/2018 00:02:58 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.474 , 16/11/2018 00:03:01 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 12.812 , 16/11/2018 00:03:03 UTC  
10.0.0.1 , 10.0.0.1 , 1.326 , 16/11/2018 00:03:15 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.438 , 16/11/2018 00:03:17 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 33.176 , 16/11/2018 00:03:19 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.535 , 16/11/2018 00:03:21 UTC  
64.28.108.203 , vatican.com , 59.642 , 16/11/2018 00:03:23 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.081 , 16/11/2018 00:03:25 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 13.903 , 16/11/2018 00:03:27 UTC  
10.0.0.1 , 10.0.0.1 , 1.095 , 16/11/2018 00:03:39 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.153 , 16/11/2018 00:03:41 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.349 , 16/11/2018 00:03:44 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.595 , 16/11/2018 00:03:46 UTC  
64.28.108.203 , vatican.com , 58.595 , 16/11/2018 00:03:48 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.546 , 16/11/2018 00:03:50 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 13.226 , 16/11/2018 00:03:52 UTC  
10.0.0.1 , 10.0.0.1 , 0.760 , 16/11/2018 00:04:04 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.327 , 16/11/2018 00:04:06 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 35.963 , 16/11/2018 00:04:08 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.723 , 16/11/2018 00:04:10 UTC  
64.28.108.203 , vatican.com , 59.501 , 16/11/2018 00:04:13 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.596 , 16/11/2018 00:04:15 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 13.547 , 16/11/2018 00:04:17 UTC  
10.0.0.1 , 10.0.0.1 , 1.218 , 16/11/2018 00:04:29 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 15.710 , 16/11/2018 00:04:31 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.574 , 16/11/2018 00:04:33 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.525 , 16/11/2018 00:04:35 UTC  
64.28.108.203 , vatican.com , 58.593 , 16/11/2018 00:04:37 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.278 , 16/11/2018 00:04:39 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.242 , 16/11/2018 00:04:41 UTC  
10.0.0.1 , 10.0.0.1 , 1.239 , 16/11/2018 00:04:54 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 12.708 , 16/11/2018 00:04:56 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.105 , 16/11/2018 00:04:58 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.335 , 16/11/2018 00:05:00 UTC  
64.28.108.203 , vatican.com , 58.864 , 16/11/2018 00:05:02 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.655 , 16/11/2018 00:05:04 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.165 , 16/11/2018 00:05:06 UTC  
10.0.0.1 , 10.0.0.1 , 1.042 , 16/11/2018 00:05:18 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.701 , 16/11/2018 00:05:20 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.099 , 16/11/2018 00:05:22 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.445 , 16/11/2018 00:05:25 UTC  
