script starting at 16/11/2018 00:00:17 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.392 , 16/11/2018 00:00:17 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.349 , 16/11/2018 00:00:19 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 36.628 , 16/11/2018 00:00:26 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.714 , 16/11/2018 00:00:28 UTC  
64.28.108.203 , vatican.com , 61.934 , 16/11/2018 00:00:30 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.738 , 16/11/2018 00:00:33 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 16.502 , 16/11/2018 00:00:35 UTC  
10.0.0.1 , 10.0.0.1 , 2.124 , 16/11/2018 00:00:47 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 17.480 , 16/11/2018 00:00:49 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.522 , 16/11/2018 00:00:51 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.786 , 16/11/2018 00:00:53 UTC  
64.28.108.203 , vatican.com , 59.571 , 16/11/2018 00:00:55 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.154 , 16/11/2018 00:00:58 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 14.764 , 16/11/2018 00:01:01 UTC  
10.0.0.1 , 10.0.0.1 , 2.193 , 16/11/2018 00:01:13 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 15.063 , 16/11/2018 00:01:15 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 37.009 , 16/11/2018 00:01:17 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.558 , 16/11/2018 00:01:19 UTC  
64.28.108.203 , vatican.com , 58.324 , 16/11/2018 00:01:21 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.138 , 16/11/2018 00:01:24 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 14.015 , 16/11/2018 00:01:27 UTC  
10.0.0.1 , 10.0.0.1 , 2.154 , 16/11/2018 00:01:40 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.464 , 16/11/2018 00:01:42 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 61.989 , 16/11/2018 00:01:44 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.724 , 16/11/2018 00:01:46 UTC  
64.28.108.203 , vatican.com , 58.599 , 16/11/2018 00:01:48 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 16.063 , 16/11/2018 00:01:50 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 18.913 , 16/11/2018 00:01:53 UTC  
10.0.0.1 , 10.0.0.1 , 2.093 , 16/11/2018 00:02:05 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.100 , 16/11/2018 00:02:07 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.430 , 16/11/2018 00:02:09 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.433 , 16/11/2018 00:02:11 UTC  
64.28.108.203 , vatican.com , 58.258 , 16/11/2018 00:02:13 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.745 , 16/11/2018 00:02:15 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 14.175 , 16/11/2018 00:02:17 UTC  
10.0.0.1 , 10.0.0.1 , 2.008 , 16/11/2018 00:02:29 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.439 , 16/11/2018 00:02:32 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.146 , 16/11/2018 00:02:34 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.943 , 16/11/2018 00:02:36 UTC  
64.28.108.203 , vatican.com , 58.929 , 16/11/2018 00:02:38 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.614 , 16/11/2018 00:02:40 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 13.726 , 16/11/2018 00:02:42 UTC  
10.0.0.1 , 10.0.0.1 , 1.810 , 16/11/2018 00:02:54 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 18.384 , 16/11/2018 00:02:56 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 84.390 , 16/11/2018 00:02:58 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 16.323 , 16/11/2018 00:03:01 UTC  
64.28.108.203 , vatican.com , 60.044 , 16/11/2018 00:03:03 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.427 , 16/11/2018 00:03:05 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 15.998 , 16/11/2018 00:03:12 UTC  
10.0.0.1 , 10.0.0.1 , 1.902 , 16/11/2018 00:03:24 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.933 , 16/11/2018 00:03:27 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.685 , 16/11/2018 00:03:29 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.327 , 16/11/2018 00:03:31 UTC  
64.28.108.203 , vatican.com , 58.785 , 16/11/2018 00:03:41 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.527 , 16/11/2018 00:03:43 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 14.214 , 16/11/2018 00:03:45 UTC  
10.0.0.1 , 10.0.0.1 , 2.110 , 16/11/2018 00:03:58 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.409 , 16/11/2018 00:04:00 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 48.911 , 16/11/2018 00:04:02 UTC  
