script starting at 30/11/2018 00:00:05 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.511 , 30/11/2018 00:00:05 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.007 , 30/11/2018 00:00:07 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 57.626 , 30/11/2018 00:00:09 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 12.698 , 30/11/2018 00:00:12 UTC  
64.28.108.203 , vatican.com , 57.007 , 30/11/2018 00:00:14 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 12.824 , 30/11/2018 00:00:16 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 12.566 , 30/11/2018 00:00:18 UTC  
10.0.0.1 , 10.0.0.1 , 1.500 , 30/11/2018 00:00:30 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 13.188 , 30/11/2018 00:00:32 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.106 , 30/11/2018 00:00:34 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.171 , 30/11/2018 00:00:36 UTC  
64.28.108.203 , vatican.com , 57.500 , 30/11/2018 00:00:38 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.133 , 30/11/2018 00:00:40 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 14.525 , 30/11/2018 00:00:43 UTC  
10.0.0.1 , 10.0.0.1 , 0.884 , 30/11/2018 00:00:55 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.073 , 30/11/2018 00:00:57 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.236 , 30/11/2018 00:00:59 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.154 , 30/11/2018 00:01:01 UTC  
64.28.108.203 , vatican.com , 57.546 , 30/11/2018 00:01:03 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.624 , 30/11/2018 00:01:05 UTC  
sfo07s16-in-x01.1e100.net (2607:f8b0:4005:807::2001 , navycaptain-therealnavy.blogspot.com , 13.227 , 30/11/2018 00:01:07 UTC  
10.0.0.1 , 10.0.0.1 , 1.499 , 30/11/2018 00:01:19 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.457 , 30/11/2018 00:01:21 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.388 , 30/11/2018 00:01:24 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.339 , 30/11/2018 00:01:26 UTC  
64.28.108.203 , vatican.com , 57.539 , 30/11/2018 00:01:28 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.384 , 30/11/2018 00:01:30 UTC  
sfo07s16-in-x01.1e100.net (2607:f8b0:4005:807::2001 , navycaptain-therealnavy.blogspot.com , 12.663 , 30/11/2018 00:01:32 UTC  
10.0.0.1 , 10.0.0.1 , 1.184 , 30/11/2018 00:01:44 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.750 , 30/11/2018 00:01:46 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.165 , 30/11/2018 00:01:48 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.792 , 30/11/2018 00:01:50 UTC  
64.28.108.203 , vatican.com , 57.245 , 30/11/2018 00:01:52 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.921 , 30/11/2018 00:01:55 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 13.296 , 30/11/2018 00:01:57 UTC  
10.0.0.1 , 10.0.0.1 , 0.943 , 30/11/2018 00:02:09 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.055 , 30/11/2018 00:02:11 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.367 , 30/11/2018 00:02:13 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 12.969 , 30/11/2018 00:02:15 UTC  
64.28.108.203 , vatican.com , 57.469 , 30/11/2018 00:02:17 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.929 , 30/11/2018 00:02:19 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 13.144 , 30/11/2018 00:02:21 UTC  
10.0.0.1 , 10.0.0.1 , 1.319 , 30/11/2018 00:02:34 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.114 , 30/11/2018 00:02:36 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.458 , 30/11/2018 00:02:38 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 12.855 , 30/11/2018 00:02:40 UTC  
64.28.108.203 , vatican.com , 57.305 , 30/11/2018 00:02:42 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.466 , 30/11/2018 00:02:44 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 13.627 , 30/11/2018 00:02:46 UTC  
10.0.0.1 , 10.0.0.1 , 1.520 , 30/11/2018 00:02:58 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.493 , 30/11/2018 00:03:00 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.098 , 30/11/2018 00:03:02 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.834 , 30/11/2018 00:03:04 UTC  
64.28.108.203 , vatican.com , 57.497 , 30/11/2018 00:03:07 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.546 , 30/11/2018 00:03:09 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 13.675 , 30/11/2018 00:03:11 UTC  
10.0.0.1 , 10.0.0.1 , 1.050 , 30/11/2018 00:03:23 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.201 , 30/11/2018 00:03:25 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.783 , 30/11/2018 00:03:27 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 12.981 , 30/11/2018 00:03:29 UTC  
64.28.108.203 , vatican.com , 57.250 , 30/11/2018 00:03:31 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.654 , 30/11/2018 00:03:33 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 13.888 , 30/11/2018 00:03:36 UTC  
10.0.0.1 , 10.0.0.1 , 1.235 , 30/11/2018 00:03:48 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 12.771 , 30/11/2018 00:03:50 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.522 , 30/11/2018 00:03:52 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.254 , 30/11/2018 00:03:54 UTC  
64.28.108.203 , vatican.com , 57.095 , 30/11/2018 00:03:56 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.193 , 30/11/2018 00:03:58 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 14.852 , 30/11/2018 00:04:00 UTC  
10.0.0.1 , 10.0.0.1 , 1.444 , 30/11/2018 00:04:12 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 12.964 , 30/11/2018 00:04:14 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.370 , 30/11/2018 00:04:16 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 12.895 , 30/11/2018 00:04:19 UTC  
