script starting at 28/10/2018 19:47:50 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)

#ping number in file?

104.31.95.59   , aline.com                            , 13.412  , 28/10/2018 19:53:45 PDT
64.28.108.203  , vatican.com                          , 63.397  , 28/10/2018 19:53:56 PDT
157.240.22.35  , facebook.com                         , 13.127  , 28/10/2018 19:53:58 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.070  , 28/10/2018 19:54:00 PDT
10.0.1.1       , 10.0.1.1                             , 1.189   , 28/10/2018 19:54:12 PDT
216.58.194.206 , google.com                           , 12.683  , 28/10/2018 19:54:14 PDT
72.30.35.10    , yahoo.com                            , 91.926  , 28/10/2018 19:54:16 PDT
104.31.95.59   , aline.com                            , 12.609  , 28/10/2018 19:54:18 PDT
64.28.108.203  , vatican.com                          , 57.737  , 28/10/2018 19:54:29 PDT
157.240.22.35  , facebook.com                         , 12.473  , 28/10/2018 19:54:32 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.412  , 28/10/2018 19:54:34 PDT
10.0.1.1       , 10.0.1.1                             , 2.002   , 28/10/2018 19:54:46 PDT
216.58.194.206 , google.com                           , 12.652  , 28/10/2018 19:54:48 PDT
72.30.35.10    , yahoo.com                            , 92.354  , 28/10/2018 19:54:50 PDT
104.31.95.59   , aline.com                            , 12.894  , 28/10/2018 19:54:52 PDT
64.28.108.203  , vatican.com                          , 57.951  , 28/10/2018 19:55:03 PDT
157.240.22.35  , facebook.com                         , 13.775  , 28/10/2018 19:55:05 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.019  , 28/10/2018 19:55:07 PDT
10.0.1.1       , 10.0.1.1                             , 5.486   , 28/10/2018 19:55:19 PDT
216.58.194.206 , google.com                           , 12.889  , 28/10/2018 19:55:21 PDT
72.30.35.10    , yahoo.com                            , 91.481  , 28/10/2018 19:55:23 PDT
104.31.95.59   , aline.com                            , 11.763  , 28/10/2018 19:55:26 PDT
64.28.108.203  , vatican.com                          , 57.058  , 28/10/2018 19:55:37 PDT
157.240.22.35  , facebook.com                         , 15.599  , 28/10/2018 19:55:44 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.090  , 28/10/2018 19:55:46 PDT
10.0.1.1       , 10.0.1.1                             , 2.199   , 28/10/2018 19:55:58 PDT
216.58.194.206 , google.com                           , 15.784  , 28/10/2018 19:56:00 PDT
72.30.35.10    , yahoo.com                            , 91.025  , 28/10/2018 19:56:02 PDT
104.31.95.59   , aline.com                            , 12.457  , 28/10/2018 19:56:04 PDT
64.28.108.203  , vatican.com                          , 57.059  , 28/10/2018 19:56:15 PDT
157.240.22.35  , facebook.com                         , 13.194  , 28/10/2018 19:56:17 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.604  , 28/10/2018 19:56:19 PDT
10.0.1.1       , 10.0.1.1                             , 2.178   , 28/10/2018 19:56:31 PDT
216.58.194.206 , google.com                           , 12.510  , 28/10/2018 19:56:33 PDT
72.30.35.10    , yahoo.com                            , 90.462  , 28/10/2018 19:56:36 PDT
104.31.95.59   , aline.com                            , 12.351  , 28/10/2018 19:56:38 PDT
64.28.108.203  , vatican.com                          , 59.323  , 28/10/2018 19:56:49 PDT
157.240.22.35  , facebook.com                         , 13.532  , 28/10/2018 19:56:51 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.641  , 28/10/2018 19:56:53 PDT
10.0.1.1       , 10.0.1.1                             , 1.073   , 28/10/2018 19:57:05 PDT
216.58.194.206 , google.com                           , 14.891  , 28/10/2018 19:57:07 PDT
98.137.246.7   , yahoo.com                            , 33.239  , 28/10/2018 19:57:09 PDT
104.31.95.59   , aline.com                            , 14.798  , 28/10/2018 19:57:11 PDT
64.28.108.203  , vatican.com                          , 59.645  , 28/10/2018 19:57:22 PDT
157.240.22.35  , facebook.com                         , 17.740  , 28/10/2018 19:57:24 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 14.584  , 28/10/2018 19:57:27 PDT
10.0.1.1       , 10.0.1.1                             , 1.601   , 28/10/2018 19:57:39 PDT
216.58.194.206 , google.com                           , 13.910  , 28/10/2018 19:57:42 PDT
98.137.246.7   , yahoo.com                            , 31.960  , 28/10/2018 19:57:44 PDT
104.31.95.59   , aline.com                            , 15.347  , 28/10/2018 19:57:46 PDT
64.28.108.203  , vatican.com                          , 60.655  , 28/10/2018 19:57:58 PDT
157.240.22.35  , facebook.com                         , 13.797  , 28/10/2018 19:58:00 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.850  , 28/10/2018 19:58:02 PDT
10.0.1.1       , 10.0.1.1                             , 0.922   , 28/10/2018 19:58:15 PDT
216.58.194.206 , google.com                           , 16.110  , 28/10/2018 19:58:17 PDT
98.137.246.7   , yahoo.com                            , 35.036  , 28/10/2018 19:58:19 PDT
104.31.94.59   , aline.com                            , 15.446  , 28/10/2018 19:58:26 PDT
64.28.108.203  , vatican.com                          , 57.111  , 28/10/2018 19:58:38 PDT
157.240.22.35  , facebook.com                         , 13.022  , 28/10/2018 19:58:40 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 16.301  , 28/10/2018 19:58:42 PDT
10.0.1.1       , 10.0.1.1                             , 1.448   , 28/10/2018 19:58:54 PDT
216.58.194.206 , google.com                           , 14.238  , 28/10/2018 19:58:56 PDT
98.137.246.7   , yahoo.com                            , 33.283  , 28/10/2018 19:58:58 PDT
104.31.94.59   , aline.com                            , 14.005  , 28/10/2018 19:59:00 PDT
64.28.108.203  , vatican.com                          , 56.719  , 28/10/2018 19:59:11 PDT
