script starting at 18/11/2018 00:00:01 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 1.975 , 18/11/2018 00:00:01 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.589 , 18/11/2018 00:00:03 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.806 , 18/11/2018 00:00:05 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.890 , 18/11/2018 00:00:07 UTC  
64.28.108.203 , vatican.com , 59.609 , 18/11/2018 00:00:09 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.507 , 18/11/2018 00:00:11 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.426 , 18/11/2018 00:00:13 UTC  
10.0.0.1 , 10.0.0.1 , 2.343 , 18/11/2018 00:00:25 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.322 , 18/11/2018 00:00:28 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.111 , 18/11/2018 00:00:30 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.816 , 18/11/2018 00:00:32 UTC  
64.28.108.203 , vatican.com , 63.407 , 18/11/2018 00:00:34 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.532 , 18/11/2018 00:00:36 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.582 , 18/11/2018 00:00:38 UTC  
10.0.0.1 , 10.0.0.1 , 1.889 , 18/11/2018 00:00:50 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 16.753 , 18/11/2018 00:00:52 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 60.407 , 18/11/2018 00:00:54 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.593 , 18/11/2018 00:00:56 UTC  
64.28.108.203 , vatican.com , 61.235 , 18/11/2018 00:00:59 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.867 , 18/11/2018 00:01:01 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.411 , 18/11/2018 00:01:03 UTC  
10.0.0.1 , 10.0.0.1 , 2.115 , 18/11/2018 00:01:15 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.787 , 18/11/2018 00:01:17 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.808 , 18/11/2018 00:01:19 UTC  
