script starting at 27/11/2018 00:00:00 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.124 , 27/11/2018 00:00:00 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 14.787 , 27/11/2018 00:00:02 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 64.553 , 27/11/2018 00:00:04 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 15.051 , 27/11/2018 00:00:06 UTC  
64.28.108.203 , vatican.com , 60.779 , 27/11/2018 00:00:08 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.795 , 27/11/2018 00:00:10 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 14.500 , 27/11/2018 00:00:12 UTC  
10.0.0.1 , 10.0.0.1 , 2.460 , 27/11/2018 00:00:25 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 15.263 , 27/11/2018 00:00:27 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.569 , 27/11/2018 00:00:29 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.473 , 27/11/2018 00:00:31 UTC  
64.28.108.203 , vatican.com , 59.251 , 27/11/2018 00:00:33 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.590 , 27/11/2018 00:00:35 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 14.472 , 27/11/2018 00:00:37 UTC  
10.0.0.1 , 10.0.0.1 , 2.395 , 27/11/2018 00:00:49 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 14.490 , 27/11/2018 00:00:51 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 48.657 , 27/11/2018 00:00:53 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.326 , 27/11/2018 00:00:56 UTC  
64.28.108.203 , vatican.com , 58.116 , 27/11/2018 00:00:58 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.552 , 27/11/2018 00:01:00 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 14.688 , 27/11/2018 00:01:02 UTC  
10.0.0.1 , 10.0.0.1 , 2.042 , 27/11/2018 00:01:14 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 13.767 , 27/11/2018 00:01:16 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 90.950 , 27/11/2018 00:01:18 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.132 , 27/11/2018 00:01:20 UTC  
64.28.108.203 , vatican.com , 61.081 , 27/11/2018 00:01:22 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.182 , 27/11/2018 00:01:25 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 14.983 , 27/11/2018 00:01:27 UTC  
10.0.0.1 , 10.0.0.1 , 2.069 , 27/11/2018 00:01:39 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 13.888 , 27/11/2018 00:01:41 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 37.104 , 27/11/2018 00:01:43 UTC  
