script starting at 27/11/2018 00:00:15 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.528 , 27/11/2018 00:00:15 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 12.661 , 27/11/2018 00:00:17 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.256 , 27/11/2018 00:00:19 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.952 , 27/11/2018 00:00:21 UTC  
64.28.108.203 , vatican.com , 57.473 , 27/11/2018 00:00:23 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.567 , 27/11/2018 00:00:25 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 13.481 , 27/11/2018 00:00:27 UTC  
10.0.0.1 , 10.0.0.1 , 1.242 , 27/11/2018 00:00:40 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 13.286 , 27/11/2018 00:00:42 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 35.937 , 27/11/2018 00:00:44 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.227 , 27/11/2018 00:00:46 UTC  
64.28.108.203 , vatican.com , 57.248 , 27/11/2018 00:00:48 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 12.942 , 27/11/2018 00:00:50 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 13.621 , 27/11/2018 00:00:52 UTC  
10.0.0.1 , 10.0.0.1 , 1.376 , 27/11/2018 00:01:04 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 12.932 , 27/11/2018 00:01:06 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.179 , 27/11/2018 00:01:08 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.135 , 27/11/2018 00:01:11 UTC  
64.28.108.203 , vatican.com , 57.029 , 27/11/2018 00:01:13 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.751 , 27/11/2018 00:01:15 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 13.324 , 27/11/2018 00:01:17 UTC  
10.0.0.1 , 10.0.0.1 , 0.928 , 27/11/2018 00:01:29 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.288 , 27/11/2018 00:01:31 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.269 , 27/11/2018 00:01:33 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.543 , 27/11/2018 00:01:35 UTC  
64.28.108.203 , vatican.com , 57.637 , 27/11/2018 00:01:37 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.554 , 27/11/2018 00:01:39 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 13.984 , 27/11/2018 00:01:42 UTC  
10.0.0.1 , 10.0.0.1 , 1.413 , 27/11/2018 00:01:54 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 13.027 , 27/11/2018 00:01:56 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.540 , 27/11/2018 00:01:58 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.104 , 27/11/2018 00:02:00 UTC  
64.28.108.203 , vatican.com , 58.540 , 27/11/2018 00:02:02 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.459 , 27/11/2018 00:02:04 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 12.839 , 27/11/2018 00:02:06 UTC  
10.0.0.1 , 10.0.0.1 , 0.832 , 27/11/2018 00:02:18 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 13.304 , 27/11/2018 00:02:20 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 86.726 , 27/11/2018 00:02:23 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.960 , 27/11/2018 00:02:25 UTC  
64.28.108.203 , vatican.com , 58.077 , 27/11/2018 00:02:27 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.667 , 27/11/2018 00:02:29 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 13.264 , 27/11/2018 00:02:31 UTC  
10.0.0.1 , 10.0.0.1 , 0.787 , 27/11/2018 00:02:43 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 14.455 , 27/11/2018 00:02:45 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 33.264 , 27/11/2018 00:02:47 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.653 , 27/11/2018 00:02:49 UTC  
64.28.108.203 , vatican.com , 57.517 , 27/11/2018 00:02:51 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.055 , 27/11/2018 00:02:54 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 13.909 , 27/11/2018 00:02:56 UTC  
