script starting at 30/11/2018 00:00:06 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 1.883 , 30/11/2018 00:00:06 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.590 , 30/11/2018 00:00:08 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 87.982 , 30/11/2018 00:00:10 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.330 , 30/11/2018 00:00:12 UTC  
64.28.108.203 , vatican.com , 58.771 , 30/11/2018 00:00:15 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.927 , 30/11/2018 00:00:17 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 19.043 , 30/11/2018 00:00:19 UTC  
10.0.0.1 , 10.0.0.1 , 1.917 , 30/11/2018 00:00:31 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 16.502 , 30/11/2018 00:00:33 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 48.530 , 30/11/2018 00:00:35 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.449 , 30/11/2018 00:00:37 UTC  
64.28.108.203 , vatican.com , 58.759 , 30/11/2018 00:00:39 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.039 , 30/11/2018 00:00:42 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 17.557 , 30/11/2018 00:00:44 UTC  
10.0.0.1 , 10.0.0.1 , 1.972 , 30/11/2018 00:00:56 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.003 , 30/11/2018 00:00:58 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.630 , 30/11/2018 00:01:00 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.659 , 30/11/2018 00:01:02 UTC  
64.28.108.203 , vatican.com , 60.919 , 30/11/2018 00:01:04 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.499 , 30/11/2018 00:01:06 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.441 , 30/11/2018 00:01:08 UTC  
10.0.0.1 , 10.0.0.1 , 2.079 , 30/11/2018 00:01:20 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 15.068 , 30/11/2018 00:01:23 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 35.109 , 30/11/2018 00:01:25 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.795 , 30/11/2018 00:01:27 UTC  
64.28.108.203 , vatican.com , 58.814 , 30/11/2018 00:01:29 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.950 , 30/11/2018 00:01:31 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 16.825 , 30/11/2018 00:01:33 UTC  
10.0.0.1 , 10.0.0.1 , 1.953 , 30/11/2018 00:01:45 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.237 , 30/11/2018 00:01:47 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 62.576 , 30/11/2018 00:01:49 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.455 , 30/11/2018 00:01:51 UTC  
64.28.108.203 , vatican.com , 58.583 , 30/11/2018 00:01:53 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.994 , 30/11/2018 00:01:56 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.298 , 30/11/2018 00:01:58 UTC  
10.0.0.1 , 10.0.0.1 , 1.892 , 30/11/2018 00:02:10 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.035 , 30/11/2018 00:02:12 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.873 , 30/11/2018 00:02:14 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.218 , 30/11/2018 00:02:16 UTC  
64.28.108.203 , vatican.com , 58.503 , 30/11/2018 00:02:18 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 20.140 , 30/11/2018 00:02:20 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.292 , 30/11/2018 00:02:22 UTC  
10.0.0.1 , 10.0.0.1 , 1.944 , 30/11/2018 00:02:35 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 15.366 , 30/11/2018 00:02:37 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 88.615 , 30/11/2018 00:02:39 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 19.523 , 30/11/2018 00:02:41 UTC  
64.28.108.203 , vatican.com , 58.257 , 30/11/2018 00:02:43 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.063 , 30/11/2018 00:02:45 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.487 , 30/11/2018 00:02:47 UTC  
10.0.0.1 , 10.0.0.1 , 1.845 , 30/11/2018 00:02:59 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.998 , 30/11/2018 00:03:01 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 48.720 , 30/11/2018 00:03:04 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.791 , 30/11/2018 00:03:06 UTC  
64.28.108.203 , vatican.com , 57.758 , 30/11/2018 00:03:08 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.684 , 30/11/2018 00:03:10 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.389 , 30/11/2018 00:03:12 UTC  
10.0.0.1 , 10.0.0.1 , 2.034 , 30/11/2018 00:03:24 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.411 , 30/11/2018 00:03:26 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 35.027 , 30/11/2018 00:03:28 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 17.219 , 30/11/2018 00:03:30 UTC  
64.28.108.203 , vatican.com , 58.783 , 30/11/2018 00:03:33 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.025 , 30/11/2018 00:03:35 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 13.653 , 30/11/2018 00:03:37 UTC  
10.0.0.1 , 10.0.0.1 , 2.167 , 30/11/2018 00:03:51 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.686 , 30/11/2018 00:03:53 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 35.385 , 30/11/2018 00:03:56 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.483 , 30/11/2018 00:03:58 UTC  
64.28.108.203 , vatican.com , 58.578 , 30/11/2018 00:04:02 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.006 , 30/11/2018 00:04:07 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 15.844 , 30/11/2018 00:04:09 UTC  
10.0.0.1 , 10.0.0.1 , 1.843 , 30/11/2018 00:04:21 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 15.165 , 30/11/2018 00:04:23 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.724 , 30/11/2018 00:04:26 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.187 , 30/11/2018 00:04:28 UTC  
64.28.108.203 , vatican.com , 59.030 , 30/11/2018 00:04:30 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.775 , 30/11/2018 00:04:33 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.956 , 30/11/2018 00:04:35 UTC  
10.0.0.1 , 10.0.0.1 , 1.962 , 30/11/2018 00:04:47 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.457 , 30/11/2018 00:04:49 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 63.026 , 30/11/2018 00:04:51 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.948 , 30/11/2018 00:04:53 UTC  
64.28.108.203 , vatican.com , 58.673 , 30/11/2018 00:04:55 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.548 , 30/11/2018 00:04:58 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.327 , 30/11/2018 00:05:00 UTC  
