script starting at 28/11/2018 00:00:02 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 1.858 , 28/11/2018 00:00:02 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.936 , 28/11/2018 00:00:04 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 88.115 , 28/11/2018 00:00:06 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.157 , 28/11/2018 00:00:09 UTC  
64.28.108.203 , vatican.com , 59.108 , 28/11/2018 00:00:11 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.192 , 28/11/2018 00:00:13 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.421 , 28/11/2018 00:00:15 UTC  
10.0.0.1 , 10.0.0.1 , 2.012 , 28/11/2018 00:00:27 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 14.324 , 28/11/2018 00:00:29 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.974 , 28/11/2018 00:00:31 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.659 , 28/11/2018 00:00:33 UTC  
64.28.108.203 , vatican.com , 59.202 , 28/11/2018 00:00:36 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.763 , 28/11/2018 00:00:38 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.431 , 28/11/2018 00:00:40 UTC  
10.0.0.1 , 10.0.0.1 , 1.902 , 28/11/2018 00:00:52 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 14.342 , 28/11/2018 00:00:54 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 88.840 , 28/11/2018 00:00:56 UTC  
