script starting at 12/11/2018 00:00:12 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.248 , 12/11/2018 00:00:12 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 16.575 , 12/11/2018 00:00:14 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 62.224 , 12/11/2018 00:00:16 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.310 , 12/11/2018 00:00:19 UTC  
64.28.108.203 , vatican.com , 59.208 , 12/11/2018 00:00:21 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.862 , 12/11/2018 00:00:23 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 14.888 , 12/11/2018 00:00:25 UTC  
10.0.0.1 , 10.0.0.1 , 2.382 , 12/11/2018 00:00:37 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 16.130 , 12/11/2018 00:00:39 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.635 , 12/11/2018 00:00:41 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.543 , 12/11/2018 00:00:43 UTC  
64.28.108.203 , vatican.com , 58.520 , 12/11/2018 00:00:45 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.585 , 12/11/2018 00:00:47 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 15.524 , 12/11/2018 00:00:50 UTC  
10.0.0.1 , 10.0.0.1 , 1.951 , 12/11/2018 00:01:02 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 14.240 , 12/11/2018 00:01:04 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 83.009 , 12/11/2018 00:01:06 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.759 , 12/11/2018 00:01:11 UTC  
64.28.108.203 , vatican.com , 58.800 , 12/11/2018 00:01:14 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.437 , 12/11/2018 00:01:25 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 15.281 , 12/11/2018 00:01:27 UTC  
10.0.0.1 , 10.0.0.1 , 1.827 , 12/11/2018 00:01:40 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 13.965 , 12/11/2018 00:01:42 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.373 , 12/11/2018 00:01:44 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 15.219 , 12/11/2018 00:01:46 UTC  
64.28.108.203 , vatican.com , 61.096 , 12/11/2018 00:01:48 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.290 , 12/11/2018 00:01:51 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 15.511 , 12/11/2018 00:01:53 UTC  
10.0.0.1 , 10.0.0.1 , 1.980 , 12/11/2018 00:02:05 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 14.492 , 12/11/2018 00:02:07 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 82.600 , 12/11/2018 00:02:09 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.181 , 12/11/2018 00:02:11 UTC  
64.28.108.203 , vatican.com , 58.661 , 12/11/2018 00:02:14 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.944 , 12/11/2018 00:02:16 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 16.780 , 12/11/2018 00:02:18 UTC  
10.0.0.1 , 10.0.0.1 , 1.926 , 12/11/2018 00:02:30 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 15.093 , 12/11/2018 00:02:32 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.254 , 12/11/2018 00:02:34 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.352 , 12/11/2018 00:02:36 UTC  
64.28.108.203 , vatican.com , 58.999 , 12/11/2018 00:02:38 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.831 , 12/11/2018 00:02:41 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 14.032 , 12/11/2018 00:02:43 UTC  
10.0.0.1 , 10.0.0.1 , 1.988 , 12/11/2018 00:02:55 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 15.012 , 12/11/2018 00:02:57 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 62.250 , 12/11/2018 00:02:59 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.248 , 12/11/2018 00:03:02 UTC  
64.28.108.203 , vatican.com , 58.583 , 12/11/2018 00:03:04 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 17.219 , 12/11/2018 00:03:06 UTC  
