script starting at 13/11/2018 00:00:07 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.525 , 13/11/2018 00:00:07 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 12.293 , 13/11/2018 00:00:09 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.094 , 13/11/2018 00:00:11 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 11.897 , 13/11/2018 00:00:13 UTC  
64.28.108.203 , vatican.com , 57.650 , 13/11/2018 00:00:15 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 12.422 , 13/11/2018 00:00:17 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 13.257 , 13/11/2018 00:00:19 UTC  
10.0.0.1 , 10.0.0.1 , 0.901 , 13/11/2018 00:00:31 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.528 , 13/11/2018 00:00:33 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.555 , 13/11/2018 00:00:36 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.507 , 13/11/2018 00:00:38 UTC  
64.28.108.203 , vatican.com , 59.059 , 13/11/2018 00:00:40 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.925 , 13/11/2018 00:00:42 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 13.593 , 13/11/2018 00:00:44 UTC  
10.0.0.1 , 10.0.0.1 , 1.505 , 13/11/2018 00:00:56 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 13.454 , 13/11/2018 00:00:58 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.354 , 13/11/2018 00:01:00 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.984 , 13/11/2018 00:01:02 UTC  
64.28.108.203 , vatican.com , 58.800 , 13/11/2018 00:01:05 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.250 , 13/11/2018 00:01:07 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 13.247 , 13/11/2018 00:01:09 UTC  
10.0.0.1 , 10.0.0.1 , 1.239 , 13/11/2018 00:01:21 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.910 , 13/11/2018 00:01:23 UTC  
