script starting at 07/11/2018 04:52:32 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.072 , 07/11/2018 04:52:32 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 14.668 , 07/11/2018 04:52:34 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 82.657 , 07/11/2018 04:52:36 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 15.115 , 07/11/2018 04:52:39 UTC  
64.28.108.203 , vatican.com , 59.253 , 07/11/2018 04:52:41 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.686 , 07/11/2018 04:52:43 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 15.898 , 07/11/2018 04:52:45 UTC  
10.0.0.1 , 10.0.0.1 , 1.806 , 07/11/2018 04:52:58 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 14.356 , 07/11/2018 04:53:00 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.954 , 07/11/2018 04:53:02 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.748 , 07/11/2018 04:53:04 UTC  
64.28.108.203 , vatican.com , 58.583 , 07/11/2018 04:53:06 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.777 , 07/11/2018 04:53:08 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 17.904 , 07/11/2018 04:53:10 UTC  
10.0.0.1 , 10.0.0.1 , 1.904 , 07/11/2018 04:53:23 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 14.577 , 07/11/2018 04:53:25 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 92.601 , 07/11/2018 04:53:27 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 16.775 , 07/11/2018 04:53:29 UTC  
64.28.108.203 , vatican.com , 61.171 , 07/11/2018 04:53:31 UTC  
