script starting at 24/11/2018 00:00:09 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.611 , 24/11/2018 00:00:09 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 12.704 , 24/11/2018 00:00:11 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 32.390 , 24/11/2018 00:00:14 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.041 , 24/11/2018 00:00:16 UTC  
64.28.108.203 , vatican.com , 56.608 , 24/11/2018 00:00:18 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 12.995 , 24/11/2018 00:00:20 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 13.596 , 24/11/2018 00:00:22 UTC  
10.0.0.1 , 10.0.0.1 , 1.407 , 24/11/2018 00:00:34 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 13.230 , 24/11/2018 00:00:36 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.045 , 24/11/2018 00:00:38 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.366 , 24/11/2018 00:00:40 UTC  
64.28.108.203 , vatican.com , 58.214 , 24/11/2018 00:00:43 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.932 , 24/11/2018 00:00:45 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 13.228 , 24/11/2018 00:00:47 UTC  
10.0.0.1 , 10.0.0.1 , 1.152 , 24/11/2018 00:00:59 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 12.835 , 24/11/2018 00:01:01 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.311 , 24/11/2018 00:01:03 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.543 , 24/11/2018 00:01:05 UTC  
64.28.108.203 , vatican.com , 57.418 , 24/11/2018 00:01:07 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.537 , 24/11/2018 00:01:09 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 12.800 , 24/11/2018 00:01:11 UTC  
10.0.0.1 , 10.0.0.1 , 1.130 , 24/11/2018 00:01:24 UTC  
sfo03s01-in-x0e.1e100.net (2607:f8b0:4005:805::200e , google.com , 13.132 , 24/11/2018 00:01:26 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 33.511 , 24/11/2018 00:01:28 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.869 , 24/11/2018 00:01:30 UTC  
64.28.108.203 , vatican.com , 57.071 , 24/11/2018 00:01:32 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.060 , 24/11/2018 00:01:34 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 12.864 , 24/11/2018 00:01:36 UTC  
10.0.0.1 , 10.0.0.1 , 1.334 , 24/11/2018 00:01:48 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.123 , 24/11/2018 00:01:50 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 33.126 , 24/11/2018 00:01:52 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 12.993 , 24/11/2018 00:01:55 UTC  
64.28.108.203 , vatican.com , 57.659 , 24/11/2018 00:01:57 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.495 , 24/11/2018 00:01:59 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 13.989 , 24/11/2018 00:02:01 UTC  
10.0.0.1 , 10.0.0.1 , 1.368 , 24/11/2018 00:02:13 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.363 , 24/11/2018 00:02:15 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.813 , 24/11/2018 00:02:17 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.023 , 24/11/2018 00:02:19 UTC  
64.28.108.203 , vatican.com , 57.482 , 24/11/2018 00:02:21 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.153 , 24/11/2018 00:02:24 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 13.857 , 24/11/2018 00:02:26 UTC  
10.0.0.1 , 10.0.0.1 , 0.875 , 24/11/2018 00:02:38 UTC  
