script starting at 21/11/2018 00:00:04 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.358 , 21/11/2018 00:00:04 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 14.436 , 21/11/2018 00:00:06 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 82.792 , 21/11/2018 00:00:08 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.087 , 21/11/2018 00:00:10 UTC  
64.28.108.203 , vatican.com , 60.921 , 21/11/2018 00:00:12 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.488 , 21/11/2018 00:00:14 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.615 , 21/11/2018 00:00:17 UTC  
10.0.0.1 , 10.0.0.1 , 2.050 , 21/11/2018 00:00:29 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 16.746 , 21/11/2018 00:00:31 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.213 , 21/11/2018 00:00:33 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.772 , 21/11/2018 00:00:35 UTC  
64.28.108.203 , vatican.com , 58.817 , 21/11/2018 00:00:37 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.446 , 21/11/2018 00:00:39 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 16.917 , 21/11/2018 00:00:41 UTC  
10.0.0.1 , 10.0.0.1 , 1.974 , 21/11/2018 00:00:54 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 15.309 , 21/11/2018 00:00:56 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.379 , 21/11/2018 00:00:58 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.116 , 21/11/2018 00:01:00 UTC  
64.28.108.203 , vatican.com , 58.218 , 21/11/2018 00:01:02 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.510 , 21/11/2018 00:01:04 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.270 , 21/11/2018 00:01:06 UTC  
10.0.0.1 , 10.0.0.1 , 2.010 , 21/11/2018 00:01:19 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 14.474 , 21/11/2018 00:01:21 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 60.703 , 21/11/2018 00:01:23 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 19.051 , 21/11/2018 00:01:26 UTC  
64.28.108.203 , vatican.com , 58.989 , 21/11/2018 00:01:28 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.206 , 21/11/2018 00:01:30 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.985 , 21/11/2018 00:01:32 UTC  
10.0.0.1 , 10.0.0.1 , 2.164 , 21/11/2018 00:01:44 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 17.045 , 21/11/2018 00:01:46 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 36.710 , 21/11/2018 00:01:48 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.809 , 21/11/2018 00:01:51 UTC  
64.28.108.203 , vatican.com , 58.614 , 21/11/2018 00:01:53 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.720 , 21/11/2018 00:01:55 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.497 , 21/11/2018 00:01:57 UTC  
10.0.0.1 , 10.0.0.1 , 1.885 , 21/11/2018 00:02:09 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 14.117 , 21/11/2018 00:02:11 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.181 , 21/11/2018 00:02:13 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.108 , 21/11/2018 00:02:15 UTC  
64.28.108.203 , vatican.com , 58.691 , 21/11/2018 00:02:17 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.042 , 21/11/2018 00:02:19 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.865 , 21/11/2018 00:02:22 UTC  
10.0.0.1 , 10.0.0.1 , 2.042 , 21/11/2018 00:02:34 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 16.888 , 21/11/2018 00:02:36 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 82.752 , 21/11/2018 00:02:38 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.901 , 21/11/2018 00:02:40 UTC  
64.28.108.203 , vatican.com , 58.400 , 21/11/2018 00:02:42 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.260 , 21/11/2018 00:02:44 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.456 , 21/11/2018 00:02:46 UTC  
10.0.0.1 , 10.0.0.1 , 1.932 , 21/11/2018 00:02:58 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 14.208 , 21/11/2018 00:03:01 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.172 , 21/11/2018 00:03:03 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.038 , 21/11/2018 00:03:05 UTC  
64.28.108.203 , vatican.com , 58.880 , 21/11/2018 00:03:07 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.769 , 21/11/2018 00:03:09 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.734 , 21/11/2018 00:03:11 UTC  
10.0.0.1 , 10.0.0.1 , 1.958 , 21/11/2018 00:03:23 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.783 , 21/11/2018 00:03:25 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 84.855 , 21/11/2018 00:03:27 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.665 , 21/11/2018 00:03:30 UTC  
64.28.108.203 , vatican.com , 60.920 , 21/11/2018 00:03:32 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.635 , 21/11/2018 00:03:34 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.066 , 21/11/2018 00:03:36 UTC  
10.0.0.1 , 10.0.0.1 , 1.960 , 21/11/2018 00:03:48 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 14.626 , 21/11/2018 00:03:50 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 60.109 , 21/11/2018 00:03:52 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.170 , 21/11/2018 00:03:54 UTC  
64.28.108.203 , vatican.com , 58.773 , 21/11/2018 00:03:56 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.271 , 21/11/2018 00:03:58 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.126 , 21/11/2018 00:04:00 UTC  
10.0.0.1 , 10.0.0.1 , 2.124 , 21/11/2018 00:04:13 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 17.390 , 21/11/2018 00:04:15 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.457 , 21/11/2018 00:04:17 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.053 , 21/11/2018 00:04:19 UTC  
64.28.108.203 , vatican.com , 58.449 , 21/11/2018 00:04:21 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 16.581 , 21/11/2018 00:04:23 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.395 , 21/11/2018 00:04:25 UTC  
10.0.0.1 , 10.0.0.1 , 2.042 , 21/11/2018 00:04:37 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 14.022 , 21/11/2018 00:04:39 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 37.242 , 21/11/2018 00:04:41 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.641 , 21/11/2018 00:04:44 UTC  
64.28.108.203 , vatican.com , 58.581 , 21/11/2018 00:04:46 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 16.283 , 21/11/2018 00:04:48 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 14.256 , 21/11/2018 00:04:50 UTC  
10.0.0.1 , 10.0.0.1 , 2.058 , 21/11/2018 00:05:02 UTC  
