script starting at 26/11/2018 00:00:22 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.078 , 26/11/2018 00:00:22 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 16.828 , 26/11/2018 00:00:24 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 65.121 , 26/11/2018 00:00:26 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 17.043 , 26/11/2018 00:00:28 UTC  
64.28.108.203 , vatican.com , 61.475 , 26/11/2018 00:00:30 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.790 , 26/11/2018 00:00:32 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 15.280 , 26/11/2018 00:00:34 UTC  
10.0.0.1 , 10.0.0.1 , 2.104 , 26/11/2018 00:00:47 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 14.528 , 26/11/2018 00:00:49 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 50.972 , 26/11/2018 00:00:51 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.234 , 26/11/2018 00:00:53 UTC  
64.28.108.203 , vatican.com , 61.418 , 26/11/2018 00:00:55 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.141 , 26/11/2018 00:00:57 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 13.813 , 26/11/2018 00:00:59 UTC  
10.0.0.1 , 10.0.0.1 , 1.890 , 26/11/2018 00:01:11 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 14.740 , 26/11/2018 00:01:13 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 39.067 , 26/11/2018 00:01:16 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.780 , 26/11/2018 00:01:18 UTC  
64.28.108.203 , vatican.com , 58.295 , 26/11/2018 00:01:20 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 17.144 , 26/11/2018 00:01:22 UTC  
sfo03s08-in-x01.1e100.net (2607:f8b0:4005:809::2001 , navycaptain-therealnavy.blogspot.com , 14.813 , 26/11/2018 00:01:24 UTC  
10.0.0.1 , 10.0.0.1 , 2.210 , 26/11/2018 00:01:36 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 14.318 , 26/11/2018 00:01:38 UTC  
