script starting at 19/11/2018 00:00:01 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.057 , 19/11/2018 00:00:01 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 16.517 , 19/11/2018 00:00:03 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.873 , 19/11/2018 00:00:05 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.462 , 19/11/2018 00:00:08 UTC  
64.28.108.203 , vatican.com , 60.975 , 19/11/2018 00:00:10 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.691 , 19/11/2018 00:00:12 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.174 , 19/11/2018 00:00:14 UTC  
10.0.0.1 , 10.0.0.1 , 2.145 , 19/11/2018 00:00:26 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.382 , 19/11/2018 00:00:28 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 52.319 , 19/11/2018 00:00:30 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 15.210 , 19/11/2018 00:00:32 UTC  
64.28.108.203 , vatican.com , 59.522 , 19/11/2018 00:00:34 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 18.474 , 19/11/2018 00:00:37 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 13.906 , 19/11/2018 00:00:39 UTC  
10.0.0.1 , 10.0.0.1 , 2.126 , 19/11/2018 00:00:51 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.440 , 19/11/2018 00:00:53 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 35.351 , 19/11/2018 00:00:55 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.731 , 19/11/2018 00:00:57 UTC  
64.28.108.203 , vatican.com , 58.806 , 19/11/2018 00:00:59 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.290 , 19/11/2018 00:01:01 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.871 , 19/11/2018 00:01:03 UTC  
10.0.0.1 , 10.0.0.1 , 1.876 , 19/11/2018 00:01:15 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.669 , 19/11/2018 00:01:17 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 61.232 , 19/11/2018 00:01:20 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 15.740 , 19/11/2018 00:01:22 UTC  
64.28.108.203 , vatican.com , 59.204 , 19/11/2018 00:01:24 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.165 , 19/11/2018 00:01:26 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.896 , 19/11/2018 00:01:28 UTC  
10.0.0.1 , 10.0.0.1 , 1.919 , 19/11/2018 00:01:40 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 13.865 , 19/11/2018 00:01:43 UTC  
