script starting at 09/11/2018 00:00:11 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.001 , 09/11/2018 00:00:11 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.986 , 09/11/2018 00:00:13 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 85.971 , 09/11/2018 00:00:16 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.203 , 09/11/2018 00:00:18 UTC  
64.28.108.203 , vatican.com , 59.298 , 09/11/2018 00:00:20 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.875 , 09/11/2018 00:00:22 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 14.860 , 09/11/2018 00:00:24 UTC  
10.0.0.1 , 10.0.0.1 , 2.240 , 09/11/2018 00:00:36 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.735 , 09/11/2018 00:00:38 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 48.824 , 09/11/2018 00:00:40 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.364 , 09/11/2018 00:00:43 UTC  
64.28.108.203 , vatican.com , 58.604 , 09/11/2018 00:00:45 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.751 , 09/11/2018 00:00:47 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 19.238 , 09/11/2018 00:00:49 UTC  
10.0.0.1 , 10.0.0.1 , 1.839 , 09/11/2018 00:01:01 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 16.801 , 09/11/2018 00:01:03 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 35.280 , 09/11/2018 00:01:05 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.465 , 09/11/2018 00:01:08 UTC  
64.28.108.203 , vatican.com , 58.880 , 09/11/2018 00:01:10 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 19.417 , 09/11/2018 00:01:13 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 14.064 , 09/11/2018 00:01:15 UTC  
10.0.0.1 , 10.0.0.1 , 1.964 , 09/11/2018 00:01:27 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.779 , 09/11/2018 00:01:29 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 62.551 , 09/11/2018 00:01:31 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.362 , 09/11/2018 00:01:33 UTC  
64.28.108.203 , vatican.com , 58.913 , 09/11/2018 00:01:35 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.414 , 09/11/2018 00:01:37 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 14.698 , 09/11/2018 00:01:40 UTC  
10.0.0.1 , 10.0.0.1 , 1.861 , 09/11/2018 00:01:52 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.451 , 09/11/2018 00:01:54 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.206 , 09/11/2018 00:01:56 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.348 , 09/11/2018 00:01:58 UTC  
64.28.108.203 , vatican.com , 58.656 , 09/11/2018 00:02:00 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.546 , 09/11/2018 00:02:02 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 14.098 , 09/11/2018 00:02:04 UTC  
10.0.0.1 , 10.0.0.1 , 2.070 , 09/11/2018 00:02:17 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.521 , 09/11/2018 00:02:19 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 84.124 , 09/11/2018 00:02:21 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.892 , 09/11/2018 00:02:23 UTC  
64.28.108.203 , vatican.com , 58.660 , 09/11/2018 00:02:25 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.759 , 09/11/2018 00:02:27 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 14.079 , 09/11/2018 00:02:29 UTC  
10.0.0.1 , 10.0.0.1 , 2.034 , 09/11/2018 00:02:41 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.283 , 09/11/2018 00:02:43 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 84.103 , 09/11/2018 00:02:45 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.198 , 09/11/2018 00:02:48 UTC  
64.28.108.203 , vatican.com , 58.502 , 09/11/2018 00:02:50 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 16.971 , 09/11/2018 00:02:52 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 14.353 , 09/11/2018 00:02:54 UTC  
10.0.0.1 , 10.0.0.1 , 2.128 , 09/11/2018 00:03:06 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.833 , 09/11/2018 00:03:08 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.361 , 09/11/2018 00:03:10 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.828 , 09/11/2018 00:03:12 UTC  
64.28.108.203 , vatican.com , 58.944 , 09/11/2018 00:03:14 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.738 , 09/11/2018 00:03:16 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 14.632 , 09/11/2018 00:03:19 UTC  
10.0.0.1 , 10.0.0.1 , 1.999 , 09/11/2018 00:03:31 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 14.270 , 09/11/2018 00:03:33 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 35.001 , 09/11/2018 00:03:35 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.789 , 09/11/2018 00:03:37 UTC  
64.28.108.203 , vatican.com , 58.784 , 09/11/2018 00:03:39 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.194 , 09/11/2018 00:03:41 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 14.479 , 09/11/2018 00:03:43 UTC  
10.0.0.1 , 10.0.0.1 , 1.864 , 09/11/2018 00:03:55 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 15.022 , 09/11/2018 00:03:57 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 60.137 , 09/11/2018 00:03:59 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 16.839 , 09/11/2018 00:04:02 UTC  
