script starting at 23/11/2018 00:00:06 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.024 , 23/11/2018 00:00:06 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 22.700 , 23/11/2018 00:00:08 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.958 , 23/11/2018 00:00:10 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.005 , 23/11/2018 00:00:13 UTC  
64.28.108.203 , vatican.com , 58.534 , 23/11/2018 00:00:15 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.770 , 23/11/2018 00:00:17 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.555 , 23/11/2018 00:00:19 UTC  
10.0.0.1 , 10.0.0.1 , 2.208 , 23/11/2018 00:00:31 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.795 , 23/11/2018 00:00:33 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.472 , 23/11/2018 00:00:35 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.942 , 23/11/2018 00:00:37 UTC  
64.28.108.203 , vatican.com , 58.345 , 23/11/2018 00:00:39 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.664 , 23/11/2018 00:00:42 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.935 , 23/11/2018 00:00:44 UTC  
10.0.0.1 , 10.0.0.1 , 1.996 , 23/11/2018 00:00:56 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.948 , 23/11/2018 00:00:58 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.709 , 23/11/2018 00:01:00 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.816 , 23/11/2018 00:01:02 UTC  
64.28.108.203 , vatican.com , 58.538 , 23/11/2018 00:01:04 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.463 , 23/11/2018 00:01:06 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.629 , 23/11/2018 00:01:09 UTC  
10.0.0.1 , 10.0.0.1 , 1.961 , 23/11/2018 00:01:21 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.542 , 23/11/2018 00:01:23 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.470 , 23/11/2018 00:01:26 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.803 , 23/11/2018 00:01:29 UTC  
64.28.108.203 , vatican.com , 58.807 , 23/11/2018 00:01:31 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.410 , 23/11/2018 00:01:33 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 15.352 , 23/11/2018 00:01:36 UTC  
10.0.0.1 , 10.0.0.1 , 2.060 , 23/11/2018 00:01:48 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.300 , 23/11/2018 00:01:50 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 82.356 , 23/11/2018 00:01:52 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.434 , 23/11/2018 00:01:55 UTC  
64.28.108.203 , vatican.com , 58.510 , 23/11/2018 00:01:57 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.281 , 23/11/2018 00:01:59 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.130 , 23/11/2018 00:02:01 UTC  
10.0.0.1 , 10.0.0.1 , 1.882 , 23/11/2018 00:02:13 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.660 , 23/11/2018 00:02:15 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 63.239 , 23/11/2018 00:02:18 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 17.376 , 23/11/2018 00:02:20 UTC  
64.28.108.203 , vatican.com , 58.579 , 23/11/2018 00:02:22 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.128 , 23/11/2018 00:02:24 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 17.227 , 23/11/2018 00:02:26 UTC  
10.0.0.1 , 10.0.0.1 , 2.082 , 23/11/2018 00:02:38 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.348 , 23/11/2018 00:02:40 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 35.254 , 23/11/2018 00:02:42 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.968 , 23/11/2018 00:02:44 UTC  
64.28.108.203 , vatican.com , 59.622 , 23/11/2018 00:02:46 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.827 , 23/11/2018 00:02:49 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.585 , 23/11/2018 00:02:51 UTC  
10.0.0.1 , 10.0.0.1 , 1.848 , 23/11/2018 00:03:03 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.759 , 23/11/2018 00:03:05 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.625 , 23/11/2018 00:03:07 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 17.227 , 23/11/2018 00:03:09 UTC  
64.28.108.203 , vatican.com , 58.532 , 23/11/2018 00:03:11 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.809 , 23/11/2018 00:03:13 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.537 , 23/11/2018 00:03:16 UTC  
10.0.0.1 , 10.0.0.1 , 2.094 , 23/11/2018 00:03:28 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.231 , 23/11/2018 00:03:30 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 34.954 , 23/11/2018 00:03:32 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.523 , 23/11/2018 00:03:34 UTC  
64.28.108.203 , vatican.com , 58.658 , 23/11/2018 00:03:36 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.356 , 23/11/2018 00:03:38 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.785 , 23/11/2018 00:03:40 UTC  
10.0.0.1 , 10.0.0.1 , 1.869 , 23/11/2018 00:03:52 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 16.695 , 23/11/2018 00:03:54 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.045 , 23/11/2018 00:03:57 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.455 , 23/11/2018 00:03:59 UTC  
64.28.108.203 , vatican.com , 59.048 , 23/11/2018 00:04:01 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.069 , 23/11/2018 00:04:03 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.614 , 23/11/2018 00:04:05 UTC  
10.0.0.1 , 10.0.0.1 , 2.055 , 23/11/2018 00:04:17 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.900 , 23/11/2018 00:04:19 UTC  
