script starting at 14/11/2018 00:00:03 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 1.937 , 14/11/2018 00:00:03 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.989 , 14/11/2018 00:00:05 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 49.199 , 14/11/2018 00:00:07 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.623 , 14/11/2018 00:00:10 UTC  
64.28.108.203 , vatican.com , 59.526 , 14/11/2018 00:00:12 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.724 , 14/11/2018 00:00:14 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 14.873 , 14/11/2018 00:00:16 UTC  
10.0.0.1 , 10.0.0.1 , 2.049 , 14/11/2018 00:00:28 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 17.824 , 14/11/2018 00:00:30 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 35.324 , 14/11/2018 00:00:32 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 17.217 , 14/11/2018 00:00:34 UTC  
64.28.108.203 , vatican.com , 58.739 , 14/11/2018 00:00:36 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.444 , 14/11/2018 00:00:39 UTC  
nuq04s29-in-x01.1e100.net (2607:f8b0:4005:801::2001 , navycaptain-therealnavy.blogspot.com , 19.676 , 14/11/2018 00:00:41 UTC  
10.0.0.1 , 10.0.0.1 , 2.194 , 14/11/2018 00:00:53 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 14.693 , 14/11/2018 00:00:55 UTC  
