script starting at 19/11/2018 00:00:18 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.839 , 19/11/2018 00:00:18 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 12.881 , 19/11/2018 00:00:21 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.349 , 19/11/2018 00:00:23 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.856 , 19/11/2018 00:00:25 UTC  
64.28.108.203 , vatican.com , 59.164 , 19/11/2018 00:00:27 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.753 , 19/11/2018 00:00:29 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 15.470 , 19/11/2018 00:00:31 UTC  
10.0.0.1 , 10.0.0.1 , 1.254 , 19/11/2018 00:00:43 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 14.025 , 19/11/2018 00:00:45 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 62.914 , 19/11/2018 00:00:47 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.012 , 19/11/2018 00:00:50 UTC  
64.28.108.203 , vatican.com , 56.903 , 19/11/2018 00:00:52 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.686 , 19/11/2018 00:00:54 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 13.974 , 19/11/2018 00:00:56 UTC  
10.0.0.1 , 10.0.0.1 , 1.038 , 19/11/2018 00:01:08 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.244 , 19/11/2018 00:01:10 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 34.341 , 19/11/2018 00:01:12 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.154 , 19/11/2018 00:01:14 UTC  
64.28.108.203 , vatican.com , 58.653 , 19/11/2018 00:01:16 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.304 , 19/11/2018 00:01:18 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 14.117 , 19/11/2018 00:01:21 UTC  
10.0.0.1 , 10.0.0.1 , 1.068 , 19/11/2018 00:01:33 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 15.250 , 19/11/2018 00:01:35 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.191 , 19/11/2018 00:01:37 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.257 , 19/11/2018 00:01:39 UTC  
64.28.108.203 , vatican.com , 58.966 , 19/11/2018 00:01:41 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.712 , 19/11/2018 00:01:43 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 16.328 , 19/11/2018 00:01:45 UTC  
10.0.0.1 , 10.0.0.1 , 1.078 , 19/11/2018 00:01:57 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.064 , 19/11/2018 00:02:00 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.575 , 19/11/2018 00:02:02 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.588 , 19/11/2018 00:02:04 UTC  
64.28.108.203 , vatican.com , 58.777 , 19/11/2018 00:02:06 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.644 , 19/11/2018 00:02:08 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 12.824 , 19/11/2018 00:02:10 UTC  
10.0.0.1 , 10.0.0.1 , 1.169 , 19/11/2018 00:02:22 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 14.366 , 19/11/2018 00:02:24 UTC  
