script starting at 22/11/2018 00:00:02 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.510 , 22/11/2018 00:00:02 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 12.701 , 22/11/2018 00:00:04 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 32.576 , 22/11/2018 00:00:06 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.459 , 22/11/2018 00:00:08 UTC  
64.28.108.203 , vatican.com , 56.971 , 22/11/2018 00:00:10 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 12.698 , 22/11/2018 00:00:12 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 12.759 , 22/11/2018 00:00:14 UTC  
10.0.0.1 , 10.0.0.1 , 1.349 , 22/11/2018 00:00:27 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 15.107 , 22/11/2018 00:00:29 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 32.830 , 22/11/2018 00:00:31 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.296 , 22/11/2018 00:00:33 UTC  
64.28.108.203 , vatican.com , 57.824 , 22/11/2018 00:00:35 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.282 , 22/11/2018 00:00:37 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 12.934 , 22/11/2018 00:00:39 UTC  
10.0.0.1 , 10.0.0.1 , 1.138 , 22/11/2018 00:00:51 UTC  
lax28s15-in-x0e.1e100.net (2607:f8b0:4007:804::200e , google.com , 21.447 , 22/11/2018 00:00:53 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 32.936 , 22/11/2018 00:00:55 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.353 , 22/11/2018 00:00:57 UTC  
64.28.108.203 , vatican.com , 57.028 , 22/11/2018 00:01:00 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.131 , 22/11/2018 00:01:02 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.460 , 22/11/2018 00:01:04 UTC  
10.0.0.1 , 10.0.0.1 , 1.087 , 22/11/2018 00:01:16 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 13.117 , 22/11/2018 00:01:18 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.766 , 22/11/2018 00:01:20 UTC  
