script starting at 28/10/2018 14:07:52 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)
157.240.22.35 , facebook.com , 13.114 , 28/10/2018 14:14:59 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.555 , 28/10/2018 14:15:01 PDT  
10.0.1.1 , 10.0.1.1 , 1.834 , 28/10/2018 14:15:13 PDT  
216.58.194.206 , google.com , 12.538 , 28/10/2018 14:15:15 PDT  
98.137.246.8 , yahoo.com , 32.824 , 28/10/2018 14:15:17 PDT  
104.31.95.59 , aline.com , 12.865 , 28/10/2018 14:15:19 PDT  
64.28.108.203 , vatican.com , 59.462 , 28/10/2018 14:15:30 PDT  
157.240.22.35 , facebook.com , 13.304 , 28/10/2018 14:15:32 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.669 , 28/10/2018 14:15:35 PDT  
10.0.1.1 , 10.0.1.1 , 1.205 , 28/10/2018 14:15:47 PDT  
216.58.194.206 , google.com , 12.815 , 28/10/2018 14:15:49 PDT  
98.137.246.8 , yahoo.com , 31.942 , 28/10/2018 14:15:51 PDT  
104.31.95.59 , aline.com , 12.158 , 28/10/2018 14:15:53 PDT  
64.28.108.203 , vatican.com , 56.555 , 28/10/2018 14:16:04 PDT  
157.240.22.35 , facebook.com , 13.233 , 28/10/2018 14:16:06 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.740 , 28/10/2018 14:16:08 PDT  
10.0.1.1 , 10.0.1.1 , 1.213 , 28/10/2018 14:16:20 PDT  
216.58.194.206 , google.com , 12.633 , 28/10/2018 14:16:22 PDT  
98.137.246.8 , yahoo.com , 33.761 , 28/10/2018 14:16:24 PDT  
104.31.95.59 , aline.com , 12.680 , 28/10/2018 14:16:26 PDT  
64.28.108.203 , vatican.com , 57.360 , 28/10/2018 14:16:37 PDT  
157.240.22.35 , facebook.com , 12.967 , 28/10/2018 14:16:40 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.938 , 28/10/2018 14:16:42 PDT  
10.0.1.1 , 10.0.1.1 , 1.352 , 28/10/2018 14:16:54 PDT  
216.58.194.206 , google.com , 12.544 , 28/10/2018 14:16:56 PDT  
98.137.246.8 , yahoo.com , 32.380 , 28/10/2018 14:16:58 PDT  
104.31.95.59 , aline.com , 12.775 , 28/10/2018 14:17:01 PDT  
64.28.108.203 , vatican.com , 56.565 , 28/10/2018 14:17:12 PDT  
157.240.22.35 , facebook.com , 12.809 , 28/10/2018 14:17:14 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.548 , 28/10/2018 14:17:16 PDT  
10.0.1.1 , 10.0.1.1 , 1.312 , 28/10/2018 14:17:28 PDT  
216.58.194.206 , google.com , 12.318 , 28/10/2018 14:17:30 PDT  
98.137.246.8 , yahoo.com , 32.583 , 28/10/2018 14:17:32 PDT  
104.31.95.59 , aline.com , 12.956 , 28/10/2018 14:17:34 PDT  
64.28.108.203 , vatican.com , 57.947 , 28/10/2018 14:17:45 PDT  
157.240.22.35 , facebook.com , 13.610 , 28/10/2018 14:17:48 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.566 , 28/10/2018 14:17:50 PDT  
10.0.1.1 , 10.0.1.1 , 1.428 , 28/10/2018 14:18:02 PDT  
216.58.194.206 , google.com , 13.214 , 28/10/2018 14:18:04 PDT  
98.137.246.8 , yahoo.com , 32.061 , 28/10/2018 14:18:06 PDT  
104.31.95.59 , aline.com , 12.524 , 28/10/2018 14:18:08 PDT  
64.28.108.203 , vatican.com , 57.870 , 28/10/2018 14:18:19 PDT  
157.240.22.35 , facebook.com , 13.406 , 28/10/2018 14:18:21 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.323 , 28/10/2018 14:18:23 PDT  
10.0.1.1 , 10.0.1.1 , 1.213 , 28/10/2018 14:18:35 PDT  
172.217.6.78 , google.com , 12.531 , 28/10/2018 14:18:37 PDT  
98.137.246.8 , yahoo.com , 32.129 , 28/10/2018 14:18:39 PDT  
104.31.95.59 , aline.com , 13.018 , 28/10/2018 14:18:41 PDT  
64.28.108.203 , vatican.com , 57.275 , 28/10/2018 14:18:53 PDT  
157.240.22.35 , facebook.com , 13.864 , 28/10/2018 14:18:55 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.084 , 28/10/2018 14:18:57 PDT  
10.0.1.1 , 10.0.1.1 , 1.343 , 28/10/2018 14:19:09 PDT  
172.217.6.78 , google.com , 12.691 , 28/10/2018 14:19:11 PDT  
98.137.246.8 , yahoo.com , 32.792 , 28/10/2018 14:19:13 PDT  
104.31.95.59 , aline.com , 17.027 , 28/10/2018 14:19:15 PDT  
64.28.108.203 , vatican.com , 58.695 , 28/10/2018 14:19:26 PDT  
157.240.22.35 , facebook.com , 13.064 , 28/10/2018 14:19:28 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.693 , 28/10/2018 14:19:30 PDT  
10.0.1.1 , 10.0.1.1 , 1.442 , 28/10/2018 14:19:42 PDT  
172.217.6.78 , google.com , 12.398 , 28/10/2018 14:19:44 PDT  
98.137.246.8 , yahoo.com , 32.712 , 28/10/2018 14:19:46 PDT  
104.31.95.59 , aline.com , 12.650 , 28/10/2018 14:19:49 PDT  
64.28.108.203 , vatican.com , 56.634 , 28/10/2018 14:20:00 PDT  
157.240.22.35 , facebook.com , 13.440 , 28/10/2018 14:20:02 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.794 , 28/10/2018 14:20:04 PDT  
10.0.1.1 , 10.0.1.1 , 1.392 , 28/10/2018 14:20:16 PDT  
172.217.6.78 , google.com , 12.342 , 28/10/2018 14:20:18 PDT  
98.137.246.8 , yahoo.com , 34.426 , 28/10/2018 14:20:20 PDT  
104.31.95.59 , aline.com , 20.223 , 28/10/2018 14:20:22 PDT  
64.28.108.203 , vatican.com , 57.213 , 28/10/2018 14:20:33 PDT  
157.240.22.35 , facebook.com , 13.141 , 28/10/2018 14:20:35 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.659 , 28/10/2018 14:20:37 PDT  
10.0.1.1 , 10.0.1.1 , 1.634 , 28/10/2018 14:20:49 PDT  
172.217.6.78 , google.com , 13.982 , 28/10/2018 14:20:51 PDT  
