script starting at 18/11/2018 00:00:09 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.895 , 18/11/2018 00:00:09 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 12.686 , 18/11/2018 00:00:11 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.937 , 18/11/2018 00:00:13 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.225 , 18/11/2018 00:00:15 UTC  
64.28.108.203 , vatican.com , 59.427 , 18/11/2018 00:00:18 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.092 , 18/11/2018 00:00:20 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 16.045 , 18/11/2018 00:00:22 UTC  
10.0.0.1 , 10.0.0.1 , 1.180 , 18/11/2018 00:00:34 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.566 , 18/11/2018 00:00:36 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.087 , 18/11/2018 00:00:38 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.063 , 18/11/2018 00:00:40 UTC  
64.28.108.203 , vatican.com , 56.971 , 18/11/2018 00:00:42 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.461 , 18/11/2018 00:00:44 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 13.346 , 18/11/2018 00:00:46 UTC  
10.0.0.1 , 10.0.0.1 , 0.821 , 18/11/2018 00:00:59 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 14.277 , 18/11/2018 00:01:01 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.727 , 18/11/2018 00:01:03 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.501 , 18/11/2018 00:01:05 UTC  
64.28.108.203 , vatican.com , 58.323 , 18/11/2018 00:01:07 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.189 , 18/11/2018 00:01:09 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 14.469 , 18/11/2018 00:01:11 UTC  
10.0.0.1 , 10.0.0.1 , 0.976 , 18/11/2018 00:01:23 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 14.552 , 18/11/2018 00:01:25 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.830 , 18/11/2018 00:01:28 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.535 , 18/11/2018 00:01:30 UTC  
64.28.108.203 , vatican.com , 57.223 , 18/11/2018 00:01:32 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 17.756 , 18/11/2018 00:01:34 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 12.975 , 18/11/2018 00:01:36 UTC  
10.0.0.1 , 10.0.0.1 , 0.790 , 18/11/2018 00:01:48 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.210 , 18/11/2018 00:01:50 UTC  
