script starting at 17/11/2018 00:00:18 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.510 , 17/11/2018 00:00:18 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 15.225 , 17/11/2018 00:00:20 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.509 , 17/11/2018 00:00:22 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.135 , 17/11/2018 00:00:24 UTC  
64.28.108.203 , vatican.com , 57.471 , 17/11/2018 00:00:26 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.835 , 17/11/2018 00:00:28 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 12.974 , 17/11/2018 00:00:31 UTC  
10.0.0.1 , 10.0.0.1 , 1.222 , 17/11/2018 00:00:43 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.428 , 17/11/2018 00:00:45 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.254 , 17/11/2018 00:00:47 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.523 , 17/11/2018 00:00:49 UTC  
64.28.108.203 , vatican.com , 57.152 , 17/11/2018 00:00:51 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.242 , 17/11/2018 00:00:53 UTC  
sfo03s18-in-x01.1e100.net (2607:f8b0:4005:80b::2001 , navycaptain-therealnavy.blogspot.com , 12.838 , 17/11/2018 00:00:55 UTC  
10.0.0.1 , 10.0.0.1 , 1.531 , 17/11/2018 00:01:07 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 13.443 , 17/11/2018 00:01:09 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.830 , 17/11/2018 00:01:12 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.209 , 17/11/2018 00:01:14 UTC  
64.28.108.203 , vatican.com , 57.107 , 17/11/2018 00:01:16 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.181 , 17/11/2018 00:01:18 UTC  
lax17s14-in-x01.1e100.net (2607:f8b0:4007:800::2001 , navycaptain-therealnavy.blogspot.com , 20.575 , 17/11/2018 00:01:20 UTC  
10.0.0.1 , 10.0.0.1 , 1.221 , 17/11/2018 00:01:32 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.303 , 17/11/2018 00:01:34 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.969 , 17/11/2018 00:01:36 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.924 , 17/11/2018 00:01:38 UTC  
64.28.108.203 , vatican.com , 57.502 , 17/11/2018 00:01:40 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.378 , 17/11/2018 00:01:43 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 13.272 , 17/11/2018 00:01:45 UTC  
10.0.0.1 , 10.0.0.1 , 1.434 , 17/11/2018 00:01:57 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 14.012 , 17/11/2018 00:01:59 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.109 , 17/11/2018 00:02:01 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.355 , 17/11/2018 00:02:03 UTC  
64.28.108.203 , vatican.com , 57.165 , 17/11/2018 00:02:05 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.168 , 17/11/2018 00:02:07 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.437 , 17/11/2018 00:02:09 UTC  
10.0.0.1 , 10.0.0.1 , 1.236 , 17/11/2018 00:02:21 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 13.074 , 17/11/2018 00:02:24 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.339 , 17/11/2018 00:02:26 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.205 , 17/11/2018 00:02:28 UTC  
64.28.108.203 , vatican.com , 57.029 , 17/11/2018 00:02:30 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.420 , 17/11/2018 00:02:32 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 13.215 , 17/11/2018 00:02:34 UTC  
10.0.0.1 , 10.0.0.1 , 1.254 , 17/11/2018 00:02:46 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 12.987 , 17/11/2018 00:02:48 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 33.941 , 17/11/2018 00:02:50 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.190 , 17/11/2018 00:02:52 UTC  
64.28.108.203 , vatican.com , 57.091 , 17/11/2018 00:02:55 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.790 , 17/11/2018 00:02:57 UTC  
sfo07s17-in-x01.1e100.net (2607:f8b0:4005:80a::2001 , navycaptain-therealnavy.blogspot.com , 12.896 , 17/11/2018 00:02:59 UTC  
10.0.0.1 , 10.0.0.1 , 1.391 , 17/11/2018 00:03:11 UTC  
sfo07s17-in-x0e.1e100.net (2607:f8b0:4005:80a::200e , google.com , 13.791 , 17/11/2018 00:03:13 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.091 , 17/11/2018 00:03:15 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.357 , 17/11/2018 00:03:17 UTC  
64.28.108.203 , vatican.com , 57.723 , 17/11/2018 00:03:19 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.395 , 17/11/2018 00:03:21 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 13.121 , 17/11/2018 00:03:24 UTC  
10.0.0.1 , 10.0.0.1 , 1.486 , 17/11/2018 00:03:36 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 13.639 , 17/11/2018 00:03:38 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 80.638 , 17/11/2018 00:03:40 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.407 , 17/11/2018 00:03:42 UTC  
64.28.108.203 , vatican.com , 58.080 , 17/11/2018 00:03:44 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.419 , 17/11/2018 00:03:46 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 12.735 , 17/11/2018 00:03:48 UTC  
10.0.0.1 , 10.0.0.1 , 0.799 , 17/11/2018 00:04:00 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 12.970 , 17/11/2018 00:04:03 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.342 , 17/11/2018 00:04:05 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.106 , 17/11/2018 00:04:07 UTC  
64.28.108.203 , vatican.com , 57.395 , 17/11/2018 00:04:09 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.039 , 17/11/2018 00:04:11 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 12.881 , 17/11/2018 00:04:13 UTC  
10.0.0.1 , 10.0.0.1 , 1.557 , 17/11/2018 00:04:25 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.384 , 17/11/2018 00:04:27 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.425 , 17/11/2018 00:04:29 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.971 , 17/11/2018 00:04:31 UTC  
64.28.108.203 , vatican.com , 57.146 , 17/11/2018 00:04:34 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.804 , 17/11/2018 00:04:36 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 13.364 , 17/11/2018 00:04:38 UTC  
10.0.0.1 , 10.0.0.1 , 0.701 , 17/11/2018 00:04:50 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 14.278 , 17/11/2018 00:04:52 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.545 , 17/11/2018 00:04:54 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 12.451 , 17/11/2018 00:04:56 UTC  
64.28.108.203 , vatican.com , 58.673 , 17/11/2018 00:04:58 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.245 , 17/11/2018 00:05:01 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 12.878 , 17/11/2018 00:05:03 UTC  
10.0.0.1 , 10.0.0.1 , 1.256 , 17/11/2018 00:05:15 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.078 , 17/11/2018 00:05:17 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 86.387 , 17/11/2018 00:05:19 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.283 , 17/11/2018 00:05:21 UTC  
64.28.108.203 , vatican.com , 58.202 , 17/11/2018 00:05:23 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.323 , 17/11/2018 00:05:25 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 14.383 , 17/11/2018 00:05:27 UTC  
10.0.0.1 , 10.0.0.1 , 1.108 , 17/11/2018 00:05:39 UTC  
sfo07s13-in-x0e.1e100.net (2607:f8b0:4005:804::200e , google.com , 12.801 , 17/11/2018 00:05:42 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 63.853 , 17/11/2018 00:05:44 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.987 , 17/11/2018 00:05:46 UTC  
64.28.108.203 , vatican.com , 58.676 , 17/11/2018 00:05:48 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.978 , 17/11/2018 00:05:50 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 15.013 , 17/11/2018 00:05:52 UTC  
10.0.0.1 , 10.0.0.1 , 1.474 , 17/11/2018 00:06:04 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 14.921 , 17/11/2018 00:06:06 UTC  
