script starting at 15/11/2018 00:00:09 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.611 , 15/11/2018 00:00:09 UTC  
sfo03s06-in-x0e.1e100.net (2607:f8b0:4005:806::200e , google.com , 12.394 , 15/11/2018 00:00:11 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 82.822 , 15/11/2018 00:00:13 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 13.615 , 15/11/2018 00:00:15 UTC  
64.28.108.203 , vatican.com , 58.137 , 15/11/2018 00:00:17 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.126 , 15/11/2018 00:00:20 UTC  
sfo03s06-in-x01.1e100.net (2607:f8b0:4005:806::2001 , navycaptain-therealnavy.blogspot.com , 12.773 , 15/11/2018 00:00:22 UTC  
10.0.0.1 , 10.0.0.1 , 1.258 , 15/11/2018 00:00:34 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 13.064 , 15/11/2018 00:00:36 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 33.720 , 15/11/2018 00:00:38 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.307 , 15/11/2018 00:00:40 UTC  
64.28.108.203 , vatican.com , 58.825 , 15/11/2018 00:00:42 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.214 , 15/11/2018 00:00:44 UTC  
lax17s02-in-x01.1e100.net (2607:f8b0:4007:803::2001 , navycaptain-therealnavy.blogspot.com , 21.491 , 15/11/2018 00:00:46 UTC  
10.0.0.1 , 10.0.0.1 , 0.898 , 15/11/2018 00:00:59 UTC  
sfo07s26-in-x0e.1e100.net (2607:f8b0:4005:802::200e , google.com , 12.297 , 15/11/2018 00:01:01 UTC  
