script starting at 24/11/2018 00:00:21 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.0.1 , 10.0.0.1 , 2.213 , 24/11/2018 00:00:21 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 15.210 , 24/11/2018 00:00:23 UTC  
media-router-fp2.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::5 , yahoo.com , 35.141 , 24/11/2018 00:00:25 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.082 , 24/11/2018 00:00:28 UTC  
64.28.108.203 , vatican.com , 59.239 , 24/11/2018 00:00:30 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.233 , 24/11/2018 00:00:32 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 17.295 , 24/11/2018 00:00:34 UTC  
10.0.0.1 , 10.0.0.1 , 1.900 , 24/11/2018 00:00:46 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 15.027 , 24/11/2018 00:00:48 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.690 , 24/11/2018 00:00:50 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 17.300 , 24/11/2018 00:00:52 UTC  
64.28.108.203 , vatican.com , 58.354 , 24/11/2018 00:00:54 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.332 , 24/11/2018 00:00:57 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 14.433 , 24/11/2018 00:00:59 UTC  
10.0.0.1 , 10.0.0.1 , 1.873 , 24/11/2018 00:01:11 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 14.858 , 24/11/2018 00:01:13 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 63.617 , 24/11/2018 00:01:15 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 15.116 , 24/11/2018 00:01:17 UTC  
64.28.108.203 , vatican.com , 59.185 , 24/11/2018 00:01:19 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 17.561 , 24/11/2018 00:01:22 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 14.208 , 24/11/2018 00:01:24 UTC  
10.0.0.1 , 10.0.0.1 , 2.395 , 24/11/2018 00:01:36 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 13.921 , 24/11/2018 00:01:38 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 38.125 , 24/11/2018 00:01:40 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.697 , 24/11/2018 00:01:42 UTC  
64.28.108.203 , vatican.com , 58.454 , 24/11/2018 00:01:44 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.053 , 24/11/2018 00:01:46 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 14.948 , 24/11/2018 00:01:48 UTC  
10.0.0.1 , 10.0.0.1 , 1.829 , 24/11/2018 00:02:01 UTC  
sfo03s08-in-x0e.1e100.net (2607:f8b0:4005:809::200e , google.com , 14.311 , 24/11/2018 00:02:03 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 88.251 , 24/11/2018 00:02:05 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.134 , 24/11/2018 00:02:07 UTC  
64.28.108.203 , vatican.com , 58.500 , 24/11/2018 00:02:09 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.228 , 24/11/2018 00:02:11 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 14.916 , 24/11/2018 00:02:13 UTC  
